                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                 1.6013,                0.88104,                 1.0279,                0.67734,                0.69489,                0.75376,                 0.3031,                 1.9946,                 1.0603,                 1.1021,              0.0049312,              0.0049312,              0.0049312
                    130,                 2.0059,                 1.1183,                 1.0293,                0.67013,                0.66599,                0.72222,                0.32398,                  1.906,                 0.9901,                 1.0947,              0.0048916,              0.0048916,              0.0048916
                    131,                 1.6257,                0.94189,                 1.0207,                0.58832,                0.59079,                0.64131,                0.23818,                 2.2168,                 1.1136,                 1.1469,               0.004852,               0.004852,               0.004852
                    132,                 2.1282,                 1.0186,                 1.0292,                0.58575,                0.59819,                 0.6426,                0.26231,                 2.0939,                 1.1318,                 1.1188,              0.0048124,              0.0048124,              0.0048124
                    133,                 1.8446,                  1.115,                  1.025,                0.52121,                 0.6337,                0.63859,                0.28062,                 2.0363,                 1.1058,                 1.1352,              0.0047728,              0.0047728,              0.0047728
                    134,                  1.655,                0.92486,                 1.0209,                0.57981,                0.52193,                0.59793,                0.20741,                  2.333,                 1.1318,                 1.1714,              0.0047332,              0.0047332,              0.0047332
                    135,                 1.7275,                0.85045,                 1.0059,                0.66482,                0.56084,                0.65903,                0.25803,                 2.1094,                 1.0815,                 1.1339,              0.0046936,              0.0046936,              0.0046936
                    136,                 1.8738,                  1.014,                  1.035,                 0.6217,                0.53641,                0.60116,                0.23242,                 2.1825,                 1.0786,                 1.1268,               0.004654,               0.004654,               0.004654
                    137,                 1.7942,                0.91385,                 1.0097,                0.65941,                0.60181,                  0.663,                 0.2502,                  2.086,                 1.0108,                 1.1308,              0.0046144,              0.0046144,              0.0046144
                    138,                 1.5395,                0.87276,                 0.9945,                0.67409,                0.64982,                0.71241,                0.29924,                 2.0356,                  1.023,                 1.1196,              0.0045748,              0.0045748,              0.0045748
                    139,                 2.1071,                 1.0206,                  1.041,                0.59523,                 0.6663,                0.68614,                0.26108,                 2.1899,                 1.0715,                 1.1054,              0.0045352,              0.0045352,              0.0045352
                    140,                  2.037,                 1.0212,                 1.0317,                0.68605,                0.68551,                0.73829,                0.29466,                 2.0079,                0.98562,                 1.1017,              0.0044956,              0.0044956,              0.0044956
                    141,                 2.1822,                  1.176,                 1.1011,                0.58298,                0.61866,                0.61683,                0.21723,                  2.235,                 1.0278,                  1.128,               0.004456,               0.004456,               0.004456
                    142,                 1.7283,                0.90078,                 1.0081,                0.72844,                0.70199,                0.76521,                0.32153,                 1.9382,                0.94862,                 1.0858,              0.0044164,              0.0044164,              0.0044164
                    143,                 1.6424,                  1.094,                 1.0049,                0.71145,                0.73288,                0.73039,                0.30221,                  1.982,                 1.1048,                 1.0928,              0.0043768,              0.0043768,              0.0043768
                    144,                 1.5228,                0.96852,                 1.0143,                0.75784,                0.74058,                0.76136,                0.30815,                 2.0346,                 1.0001,                 1.1057,              0.0043372,              0.0043372,              0.0043372
